code,strand,grade,anchor,category,text,progressive_skill
RF.K.1,RF,K,1,Print Concepts,Demonstrate understanding of the organization and basic features of print.,
RF.K.1a,RF,K,1,Print Concepts,"Follow words from left to right, top to bottom, and page by page.",
RF.K.1b,RF,K,1,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.,
RF.K.1c,RF,K,1,Print Concepts,Understand that words are separated by spaces in print.,
RF.K.1d,RF,K,1,Print Concepts,Recognize and name all upper- and lowercase letters of the alphabet.,
RF.K.2,RF,K,2,Phonological Awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",
RF.K.2a,RF,K,2,Phonological Awareness,Recognize and produce rhyming words.,
RF.K.2b,RF,K,2,Phonological Awareness,"Count, pronounce, blend, and segment syllables in spoken words.",
RF.K.2c,RF,K,2,Phonological Awareness,Blend and segment onsets and rimes of single-syllable spoken words.,
RF.K.2d,RF,K,2,Phonological Awareness,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words. (This does not include CVCs ending with /l/, /r/, or /x/.)",
RF.K.2e,RF,K,2,Phonological Awareness,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",
RF.K.3,RF,K,3,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,
RF.K.3a,RF,K,3,Phonics and Word Recognition,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.,
RF.K.3b,RF,K,3,Phonics and Word Recognition,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.,
RF.K.3c,RF,K,3,Phonics and Word Recognition,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",
RF.K.3d,RF,K,3,Phonics and Word Recognition,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,
RF.K.4,RF,K,4,Fluency,Read emergent-reader texts with purpose and understanding.,
RF.1.1,RF,1,1,Print Concepts,Demonstrate understanding of the organization and basic features of print.,
RF.1.1a,RF,1,1,Print Concepts,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).",
RF.1.2,RF,1,2,Phonological Awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",
RF.1.2a,RF,1,2,Phonological Awareness,Distinguish long from short vowel sounds in spoken single-syllable words.,
RF.1.2b,RF,1,2,Phonological Awareness,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.",
RF.1.2c,RF,1,2,Phonological Awareness,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.",
RF.1.2d,RF,1,2,Phonological Awareness,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).,
RF.1.3,RF,1,3,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,
RF.1.3a,RF,1,3,Phonics and Word Recognition,Know the spelling-sound correspondences for common consonant digraphs.,
RF.1.3b,RF,1,3,Phonics and Word Recognition,Decode regularly spelled one-syllable words.,
RF.1.3c,RF,1,3,Phonics and Word Recognition,Know final -e and common vowel team conventions for representing long vowel sounds.,
RF.1.3d,RF,1,3,Phonics and Word Recognition,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.,
RF.1.3e,RF,1,3,Phonics and Word Recognition,Decode two-syllable words following basic patterns by breaking the words into syllables.,
RF.1.3f,RF,1,3,Phonics and Word Recognition,Read words with inflectional endings.,
RF.1.3g,RF,1,3,Phonics and Word Recognition,Recognize and read grade-appropriate irregularly spelled words.,
RF.1.4,RF,1,4,Fluency,Read with sufficient accuracy and fluency to support comprehension.,
RF.1.4a,RF,1,4,Fluency,Read grade-level text with purpose and understanding.,
RF.1.4b,RF,1,4,Fluency,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.",
RF.1.4c,RF,1,4,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",
RF.2.3,RF,2,3,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,
RF.2.3a,RF,2,3,Phonics and Word Recognition,Distinguish long and short vowels when reading regularly spelled one-syllable words.,
RF.2.3b,RF,2,3,Phonics and Word Recognition,Know spelling-sound correspondences for additional common vowel teams.,
RF.2.3c,RF,2,3,Phonics and Word Recognition,Decode regularly spelled two-syllable words with long vowels.,
RF.2.3d,RF,2,3,Phonics and Word Recognition,Decode words with common prefixes and suffixes.,
RF.2.3e,RF,2,3,Phonics and Word Recognition,Identify words with inconsistent but common spelling-sound correspondences.,
RF.2.3f,RF,2,3,Phonics and Word Recognition,Recognize and read grade-appropriate irregularly spelled words.,
RF.2.4,RF,2,4,Fluency,Read with sufficient accuracy and fluency to support comprehension.,
RF.2.4a,RF,2,4,Fluency,Read grade-level text with purpose and understanding.,
RF.2.4b,RF,2,4,Fluency,"Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.",
RF.2.4c,RF,2,4,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",
RF.3.3,RF,3,3,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,
RF.3.3a,RF,3,3,Phonics and Word Recognition,Identify and know the meaning of the most common prefixes and derivational suffixes.,
RF.3.3b,RF,3,3,Phonics and Word Recognition,Decode words with common Latin suffixes.,
RF.3.3c,RF,3,3,Phonics and Word Recognition,Decode multisyllable words.,
RF.3.3d,RF,3,3,Phonics and Word Recognition,Read grade-appropriate irregularly spelled words.,
RF.3.4,RF,3,4,Fluency,Read with sufficient accuracy and fluency to support comprehension.,
RF.3.4a,RF,3,4,Fluency,Read grade-level text with purpose and understanding.,
RF.3.4b,RF,3,4,Fluency,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",
RF.3.4c,RF,3,4,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",
RF.4.3,RF,4,3,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,
RF.4.3a,RF,4,3,Phonics and Word Recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",
RF.4.4,RF,4,4,Fluency,Read with sufficient accuracy and fluency to support comprehension.,
RF.4.4a,RF,4,4,Fluency,Read grade-level text with purpose and understanding.,
RF.4.4b,RF,4,4,Fluency,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",
RF.4.4c,RF,4,4,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",
RF.5.3,RF,5,3,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,
RF.5.3a,RF,5,3,Phonics and Word Recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.",
RF.5.4,RF,5,4,Fluency,Read with sufficient accuracy and fluency to support comprehension.,
RF.5.4a,RF,5,4,Fluency,Read grade-level text with purpose and understanding.,
RF.5.4b,RF,5,4,Fluency,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.",
RF.5.4c,RF,5,4,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",
RL.K.1,RL,K,1,KID,"With prompting and support, ask and answer questions about key details in a text.",
RL.K.10,RL,K,10,RRTC,Actively engage in group reading activities with purpose and understanding.,
RL.K.2,RL,K,2,KID,"With prompting and support, retell familiar stories, including key details.",
RL.K.3,RL,K,3,KID,"With prompting and support, identify characters, settings, and major events in a story.",
RL.K.4,RL,K,4,CS,Ask and answer questions about unknown words in a text.,
RL.K.5,RL,K,5,CS,"Recognize common types of texts (e.g., storybooks, poems).",
RL.K.6,RL,K,6,CS,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",
RL.K.7,RL,K,7,IKI,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",
RL.K.8,RL,K,8,IKI,[Not applicable to literature],
RL.K.9,RL,K,9,IKI,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.",
RL.1.1,RL,1,1,KID,Ask and answer questions about key details in a text.,
RL.1.10,RL,1,10,RRTC,"With prompting and support, read prose and poetry of appropriate complexity for grade 1.",
RL.1.2,RL,1,2,KID,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",
RL.1.3,RL,1,3,KID,"Describe characters, settings, and major events in a story, using key details.",
RL.1.4,RL,1,4,CS,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,
RL.1.5,RL,1,5,CS,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",
RL.1.6,RL,1,6,CS,Identify who is telling the story at various points in a text.,
RL.1.7,RL,1,7,IKI,"Use illustrations and details in a story to describe its characters, setting, or events.",
RL.1.8,RL,1,8,IKI,[Not applicable to literature],
